EN_Name,FR_Name,ZH_Name,EN_URL,FR_URL,ZH_URL,Category
Soil,Sol (pédologie),土壤,https://en.wikipedia.org/wiki/Soil,https://fr.wikipedia.org/wiki/Sol_(p%C3%A9dologie),https://zh.wikipedia.org/wiki/%E5%9C%9F%E5%A3%A4,Science
Planet,Planète,行星,https://en.wikipedia.org/wiki/Planet,https://fr.wikipedia.org/wiki/Plan%C3%A8te,https://zh.wikipedia.org/wiki/%E8%A1%8C%E6%98%9F,Science
Speed of light,Vitesse de la lumière,光速,https://en.wikipedia.org/wiki/Speed_of_light,https://fr.wikipedia.org/wiki/Vitesse_de_la_lumi%C3%A8re,https://zh.wikipedia.org/wiki/%E5%85%89%E9%80%9F,Science
Arthropod,Arthropodes,节肢动物,https://en.wikipedia.org/wiki/Arthropod,https://fr.wikipedia.org/wiki/Arthropodes,https://zh.wikipedia.org/wiki/%E8%8A%82%E8%82%A2%E5%8A%A8%E7%89%A9,Science
Biodiversity,Biodiversité,生物多樣性,https://en.wikipedia.org/wiki/Biodiversity,https://fr.wikipedia.org/wiki/Biodiversit%C3%A9,https://zh.wikipedia.org/wiki/%E7%94%9F%E7%89%A9%E5%A4%9A%E6%A8%A3%E6%80%A7,Science
Metal,Métal,金属,https://en.wikipedia.org/wiki/Metal,https://fr.wikipedia.org/wiki/M%C3%A9tal,https://zh.wikipedia.org/wiki/%E9%87%91%E5%B1%9E,Science
Outer space,Espace (cosmologie),外层空间,https://en.wikipedia.org/wiki/Outer_space,https://fr.wikipedia.org/wiki/Espace_(cosmologie),https://zh.wikipedia.org/wiki/%E5%A4%96%E5%B1%82%E7%A9%BA%E9%97%B4,Science
Inorganic chemistry,Chimie minérale,无机化学,https://en.wikipedia.org/wiki/Inorganic_chemistry,https://fr.wikipedia.org/wiki/Chimie_min%C3%A9rale,https://zh.wikipedia.org/wiki/%E6%97%A0%E6%9C%BA%E5%8C%96%E5%AD%A6,Science
Silicon,Silicium,硅,https://en.wikipedia.org/wiki/Silicon,https://fr.wikipedia.org/wiki/Silicium,https://zh.wikipedia.org/wiki/%E7%A1%85,Science
Light,Lumière,光,https://en.wikipedia.org/wiki/Light,https://fr.wikipedia.org/wiki/Lumi%C3%A8re,https://zh.wikipedia.org/wiki/%E5%85%89,Science
Measurement,Mesure physique,度量,https://en.wikipedia.org/wiki/Measurement,https://fr.wikipedia.org/wiki/Mesure_physique,https://zh.wikipedia.org/wiki/%E5%BA%A6%E9%87%8F,Science
Snow,Neige,雪,https://en.wikipedia.org/wiki/Snow,https://fr.wikipedia.org/wiki/Neige,https://zh.wikipedia.org/wiki/%E9%9B%AA,Science
Space,Espace (notion),空間,https://en.wikipedia.org/wiki/Space,https://fr.wikipedia.org/wiki/Espace_(notion),https://zh.wikipedia.org/wiki/%E7%A9%BA%E9%96%93,Science
Genetics,Génétique,遗传学,https://en.wikipedia.org/wiki/Genetics,https://fr.wikipedia.org/wiki/G%C3%A9n%C3%A9tique,https://zh.wikipedia.org/wiki/%E9%81%97%E4%BC%A0%E5%AD%A6,Science
Climate change,Réchauffement climatique,全球变暖,https://en.wikipedia.org/wiki/Climate_change,https://fr.wikipedia.org/wiki/R%C3%A9chauffement_climatique,https://zh.wikipedia.org/wiki/%E5%85%A8%E7%90%83%E5%8F%98%E6%9A%96,Science
Sex,Sexe,性别,https://en.wikipedia.org/wiki/Sex,https://fr.wikipedia.org/wiki/Sexe,https://zh.wikipedia.org/wiki/%E6%80%A7%E5%88%AB,Science
Reptile,Reptile,爬行动物,https://en.wikipedia.org/wiki/Reptile,https://fr.wikipedia.org/wiki/Reptile,https://zh.wikipedia.org/wiki/%E7%88%AC%E8%A1%8C%E5%8A%A8%E7%89%A9,Science
Chemistry,Chimie,化學,https://en.wikipedia.org/wiki/Chemistry,https://fr.wikipedia.org/wiki/Chimie,https://zh.wikipedia.org/wiki/%E5%8C%96%E5%AD%B8,Science
Earthquake,Séisme,地震,https://en.wikipedia.org/wiki/Earthquake,https://fr.wikipedia.org/wiki/S%C3%A9isme,https://zh.wikipedia.org/wiki/%E5%9C%B0%E9%9C%87,Science
